id,state,abbr,poverty,education
1,Alabama,AL,19.3,17.4
2,Alaska,AK,11.2,9.7
3,Arizona,AZ,18.2,15.4
4,Arkansas,AR,18.9,16.8
5,California,CA,16.4,19.1
6,Colorado,CO,12,10.8
7,Connecticut,CT,10.8,11.6
8,Delaware,DE,12.5,13.4
9,District of Columbia,DC,17.7,12
10,Florida,FL,16.5,14.6
11,Georgia,GA,18.3,16.4
12,Hawaii,HI,11.4,9.7
13,Idaho,ID,14.8,11.9
14,Illinois,IL,14.4,13.4
15,Indiana,IN,15.2,14
16,Iowa,IA,12.2,9.6
17,Kansas,KS,13.6,11.1
18,Kentucky,KY,19.1,17.3
19,Louisiana,LA,19.8,18
20,Maine,ME,14.1,9.4
21,Maryland,MD,10.1,11.9
22,Massachusetts,MA,11.6,11.2
23,Michigan,MI,16.2,11.6
24,Minnesota,MN,11.5,9
25,Mississippi,MS,21.5,19.1
26,Missouri,MO,15.5,12.9
27,Montana,MT,15.4,8.9
28,Nebraska,NE,12.4,10.5
29,Nevada,NV,15.2,16.7
30,New Hampshire,NH,9.2,8.8
31,New Jersey,NJ,11.1,12.5
32,New Mexico,NM,21.3,17.4
33,New York,NY,15.9,15.2
34,North Carolina,NC,17.2,15.7
35,North Dakota,ND,11.5,9.3
36,Ohio,OH,15.8,12.2
37,Oklahoma,OK,16.6,14.7
38,Oregon,OR,16.6,11.5
39,Pennsylvania,PA,13.6,11.9
40,Rhode Island,RI,14.3,15.1
41,South Carolina,SC,18,16.2
42,South Dakota,SD,14.2,10.8
43,Tennessee,TN,18.3,16
44,Texas,TX,17.2,19.4
45,Utah,UT,11.7,10
46,Vermont,VT,12.2,8.7
47,Virginia,VA,11.8,12.9
48,Washington,WA,13.2,11
49,West Virginia,WV,18.3,16.6
50,Wisconsin,WI,13.2,10.3
51,Wyoming,WY,11.2,8.7
